"fov","cellID","x_local_px","y_local_px","x_global_px","y_global_px"
32,10,3548,4172,154623.817108155,-38314.1113230387
32,10,3545,4171,154620.817108155,-38315.1113230387
32,10,3537,4169,154612.817108155,-38317.1113230387
32,10,3532,4168,154607.817108155,-38318.1113230387
32,10,3520,4168,154595.817108155,-38318.1113230387
32,10,3464,4192,154539.817108155,-38294.1113230387
32,10,3458,4195,154533.817108155,-38291.1113230387
32,10,3455,4197,154530.817108155,-38289.1113230387
32,10,3447,4252,154522.817108155,-38234.1113230387
32,10,3447,4256,154522.817108155,-38230.1113230387
32,11,3912,4256,154987.817108155,-38230.1113230387
32,11,3913,4250,154988.817108155,-38236.1113230387
32,11,3914,4236,154989.817108155,-38250.1113230387
32,11,3914,4233,154989.817108155,-38253.1113230387
32,11,3909,4228,154984.817108155,-38258.1113230387
32,11,3898,4219,154973.817108155,-38267.1113230387
32,11,3891,4214,154966.817108155,-38272.1113230387
32,11,3888,4212,154963.817108155,-38274.1113230387
32,11,3884,4210,154959.817108155,-38276.1113230387
32,11,3872,4210,154947.817108155,-38276.1113230387
32,11,3867,4211,154942.817108155,-38275.1113230387
32,11,3864,4212,154939.817108155,-38274.1113230387
32,11,3854,4217,154929.817108155,-38269.1113230387
32,11,3848,4221,154923.817108155,-38265.1113230387
32,11,3843,4226,154918.817108155,-38260.1113230387
32,11,3837,4242,154912.817108155,-38244.1113230387
32,11,3834,4252,154909.817108155,-38234.1113230387
32,11,3834,4256,154909.817108155,-38230.1113230387
32,12,4021,4256,155096.817108155,-38230.1113230387
32,12,4025,4252,155100.817108155,-38234.1113230387
32,12,4035,4238,155110.817108155,-38248.1113230387
32,12,4037,4234,155112.817108155,-38252.1113230387
32,12,4037,4228,155112.817108155,-38258.1113230387
32,12,4036,4226,155111.817108155,-38260.1113230387
32,12,4029,4215,155104.817108155,-38271.1113230387
32,12,4015,4201,155090.817108155,-38285.1113230387
32,12,4008,4195,155083.817108155,-38291.1113230387
32,12,4001,4195,155076.817108155,-38291.1113230387
32,12,3996,4196,155071.817108155,-38290.1113230387
32,12,3972,4201,155047.817108155,-38285.1113230387
32,12,3966,4203,155041.817108155,-38283.1113230387
32,12,3938,4217,155013.817108155,-38269.1113230387
32,12,3932,4221,155007.817108155,-38265.1113230387
32,12,3918,4231,154993.817108155,-38255.1113230387
32,12,3915,4234,154990.817108155,-38252.1113230387
32,12,3914,4237,154989.817108155,-38249.1113230387
32,12,3913,4251,154988.817108155,-38235.1113230387
32,12,3913,4256,154988.817108155,-38230.1113230387
32,13,4222,4256,155297.817108155,-38230.1113230387
32,13,4223,4255,155298.817108155,-38231.1113230387
32,13,4223,4245,155298.817108155,-38241.1113230387
32,13,4222,4242,155297.817108155,-38244.1113230387
32,13,4221,4240,155296.817108155,-38246.1113230387
32,13,4213,4232,155288.817108155,-38254.1113230387
32,13,4209,4229,155284.817108155,-38257.1113230387
32,13,4203,4226,155278.817108155,-38260.1113230387
32,13,4139,4199,155214.817108155,-38287.1113230387
32,13,4120,4191,155195.817108155,-38295.1113230387
32,13,4115,4191,155190.817108155,-38295.1113230387
32,13,4096,4201,155171.817108155,-38285.1113230387
32,13,4046,4239,155121.817108155,-38247.1113230387
32,13,4045,4242,155120.817108155,-38244.1113230387
32,13,4046,4247,155121.817108155,-38239.1113230387
32,13,4047,4250,155122.817108155,-38236.1113230387
32,13,4048,4252,155123.817108155,-38234.1113230387
32,13,4052,4256,155127.817108155,-38230.1113230387
32,14,1074,4256,152149.817108155,-38230.1113230387
32,14,1082,4227,152157.817108155,-38259.1113230387
32,14,1082,4203,152157.817108155,-38283.1113230387
