"fov","cell_ID","Area","AspectRatio","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.MembraneStain_B2M","Max.MembraneStain_B2M","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI"
32,66,6214,0.93,3579,4129,154654.817108155,-38357.1113230387,89,96,2309,8679,63,352,1711,5405,64,1421,846,3094
32,67,16437,1.24,2776,4100,153851.817108155,-38386.1113230387,170,137,3372,23246,31,533,726,4161,38,702,673,2694
32,68,13335,1.12,642,4089,151717.817108155,-38397.1113230387,169,151,2540,10030,65,4512,1100,5791,57,6631,493,2854
32,69,6591,1.89,4061,4117,155136.817108155,-38369.1113230387,138,73,3221,19581,39,538,863,3301,57,862,1426,3420
32,70,10956,1.02,2070,4091,153145.817108155,-38395.1113230387,124,122,2576,20874,91,3805,1140,7157,113,6415,1239,3764
32,71,11838,1.35,1217,4095,152292.817108155,-38391.1113230387,159,118,3398,46475,111,4800,851,6281,102,8355,1591,3769
32,72,6196,1.24,1431,4099,152506.817108155,-38387.1113230387,103,83,3282,17949,59,606,1112,9192,37,1221,1206,3449
32,73,6533,0.77,1003,4096,152078.817108155,-38390.1113230387,88,115,2428,14464,78,3767,1129,7380,80,7424,564,1844
32,74,4151,0.9,3656,4093,154731.817108155,-38393.1113230387,82,91,2334,10033,45,1984,1700,12214,77,3948,2726,4613
32,75,13200,2.08,485,4078,151560.817108155,-38408.1113230387,202,97,2638,33040,57,4107,578,5323,55,6485,806,2567
32,76,5487,1.22,2355,4104,153430.817108155,-38382.1113230387,95,78,2493,10008,80,5129,1936,9892,104,7241,1451,3391
32,77,7095,1.65,3872,4102,154947.817108155,-38384.1113230387,132,80,3829,16150,38,433,1655,23060,67,851,634,2412
32,78,7505,1.01,3229,4081,154304.817108155,-38405.1113230387,99,98,1106,4827,66,3414,690,5083,80,7357,828,2245
32,79,8366,1.01,908,4065,151983.817108155,-38421.1113230387,110,109,842,8833,613,5465,1550,5242,302,5925,1572,4740
32,80,7713,1.36,162,4085,151237.817108155,-38401.1113230387,125,92,2011,12805,75,3607,685,4275,86,5536,1081,2670
32,81,2699,1.14,4087,4082,155162.817108155,-38404.1113230387,88,77,1869,10804,33,199,852,2761,46,493,630,1621
32,82,11297,1.42,332,4067,151407.817108155,-38419.1113230387,162,114,3510,19994,89,4211,933,5373,69,6075,1316,4111
32,83,6690,1.18,3989,4076,155064.817108155,-38410.1113230387,112,95,2503,14270,35,372,1067,3691,43,597,1600,3668
32,84,8681,0.97,1062,4061,152137.817108155,-38425.1113230387,121,125,3042,24097,60,411,988,6152,56,793,1550,3825
32,85,7983,1.06,2255,4054,153330.817108155,-38432.1113230387,151,142,3516,13673,68,954,3090,17916,82,829,1504,5219
32,86,8906,1.57,4139,4062,155214.817108155,-38424.1113230387,177,113,2605,12452,58,2935,1505,15549,61,4510,1002,3541
32,87,6844,1.36,2307,4062,153382.817108155,-38424.1113230387,137,101,2051,12964,45,368,1428,11459,50,1169,1723,4638
32,88,9726,0.88,1841,4036,152916.817108155,-38450.1113230387,122,138,4030,25842,41,546,1007,3709,45,1633,724,3124
32,89,15156,1.07,3368,4041,154443.817108155,-38445.1113230387,157,147,2827,13613,65,2774,2907,17554,91,6525,575,3675
32,90,5998,1.11,3742,4065,154817.817108155,-38421.1113230387,97,87,2367,10382,25,368,1546,20922,46,1128,1146,3250
32,91,15188,1.49,1614,4039,152689.817108155,-38447.1113230387,188,126,6557,33440,102,1014,1831,6754,55,944,536,2814
32,92,14927,1.15,1981,4025,153056.817108155,-38461.1113230387,159,138,2293,16248,26,4935,597,5342,36,6381,770,3129
32,93,4330,1.12,3907,4051,154982.817108155,-38435.1113230387,92,82,2790,12688,37,2866,1332,11888,78,7755,1212,2925
32,94,6471,0.99,2173,4049,153248.817108155,-38437.1113230387,103,104,2094,14078,100,3538,1815,9206,125,4393,1244,2864
32,95,7690,0.96,2422,4041,153497.817108155,-38445.1113230387,101,105,2041,7677,52,347,1502,9956,64,783,1737,3999
32,96,4237,0.77,2496,4042,153571.817108155,-38444.1113230387,66,86,2363,18373,58,385,1307,7756,55,595,2428,4098
32,97,7571,1.01,3589,4042,154664.817108155,-38444.1113230387,103,102,2424,13817,62,493,1810,7505,73,955,1692,3941
32,98,12036,0.9,2522,3999,153597.817108155,-38487.1113230387,140,155,4274,23000,65,742,3547,22978,67,853,716,3683
32,99,8585,1.04,66,4036,151141.817108155,-38450.1113230387,114,110,2014,13974,99,2039,593,3662,74,4451,2370,5489
32,100,11317,1.32,263,4027,151338.817108155,-38459.1113230387,168,127,5077,24588,224,3964,1080,5116,104,1660,1411,4223
32,101,3720,0.99,1397,4047,152472.817108155,-38439.1113230387,82,83,1903,6212,48,354,742,2410,42,629,624,2620
32,102,12073,1.42,579,4021,151654.817108155,-38465.1113230387,160,113,2516,14848,63,868,598,6172,52,1013,1753,3600
32,103,5362,0.86,3516,4037,154591.817108155,-38449.1113230387,82,95,2368,9589,87,3016,1130,6205,105,6870,843,2309
32,104,7360,1.04,1101,4026,152176.817108155,-38460.1113230387,117,113,4080,15569,69,344,1266,4730,68,678,1705,3752
32,105,9415,1.04,1325,4020,152400.817108155,-38466.1113230387,126,121,5083,32357,62,350,1011,3564,54,845,1069,3612
32,106,4921,1.12,848,4022,151923.817108155,-38464.1113230387,94,84,486,4168,729,3696,1403,12962,124,1023,1150,3848
