cell_id	label	lab_color
f344_c350	dropped	grey30
f344_c351	Proliferating.B.Cell	orchid
f344_c352	dropped	grey30
f344_c353	dropped	grey30
f344_c354	dropped	grey30
f344_c355	dropped	grey30
f344_c356	dropped	grey30
f344_c357	Proliferating.B.Cell	orchid
f344_c358	Proliferating.B.Cell	orchid
f344_c359	dropped	grey30
f344_c36	Proliferating.B.Cell	orchid
f344_c360	dropped	grey30
f344_c361	dropped	grey30
f344_c362	dropped	grey30
f344_c363	Proliferating.B.Cell	orchid
f344_c364	dropped	grey30
f344_c365	dropped	grey30
f344_c366	dropped	grey30
f344_c367	dropped	grey30
f344_c368	dropped	grey30
f344_c369	dropped	grey30
f344_c37	Proliferating.B.Cell	orchid
f344_c370	Proliferating.B.Cell	orchid
f344_c371	Proliferating.B.Cell	orchid
f344_c372	dropped	grey30
f344_c373	dropped	grey30
f344_c374	dropped	grey30
f344_c375	Proliferating.B.Cell	orchid
f344_c376	dropped	grey30
f344_c377	Proliferating.B.Cell	orchid
f344_c378	dropped	grey30
f344_c379	dropped	grey30
f344_c38	dropped	grey30
f344_c380	dropped	grey30
f344_c381	dropped	grey30
f344_c382	Proliferating.B.Cell	orchid
f344_c383	dropped	grey30
f344_c384	Proliferating.B.Cell	orchid
f344_c385	dropped	grey30
f344_c386	dropped	grey30
f344_c387	dropped	grey30
f344_c388	dropped	grey30
f344_c389	dropped	grey30
f344_c39	dropped	grey30
f344_c390	dropped	grey30
f344_c391	Proliferating.B.Cell	orchid
f344_c392	dropped	grey30
f344_c393	dropped	grey30
f344_c394	dropped	grey30
f344_c395	dropped	grey30
f344_c396	dropped	grey30
f344_c397	Proliferating.B.Cell	orchid
f344_c398	dropped	grey30
f344_c399	Proliferating.B.Cell	orchid
f344_c4	dropped	grey30
f344_c40	Proliferating.B.Cell	orchid
f344_c400	Proliferating.B.Cell	orchid
f344_c401	dropped	grey30
f344_c402	Proliferating.B.Cell	orchid
f344_c403	dropped	grey30
f344_c404	dropped	grey30
f344_c405	dropped	grey30
f344_c406	dropped	grey30
f344_c407	dropped	grey30
f344_c408	dropped	grey30
f344_c409	dropped	grey30
f344_c41	dropped	grey30
f344_c410	dropped	grey30
