"fov","Area","AspectRatio","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.Membrane","Max.Membrane","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI","SplitRatioToLocal","NucArea","NucAspectRatio","Circularity","Eccentricity","Perimeter","Solidity","cell_id","X","version","dualfiles","Run_name","Run_Tissue_name","ISH.concentration","Dash","tissue","Panel","assay_type","slide_ID","cell_ID","median_RNA","RNA_quantile_0.75","RNA_quantile_0.8","RNA_quantile_0.85","RNA_quantile_0.9","RNA_quantile_0.95","RNA_quantile_0.99","nCount_RNA","nFeature_RNA","median_negprobes","negprobes_quantile_0.75","negprobes_quantile_0.8","negprobes_quantile_0.85","negprobes_quantile_0.9","negprobes_quantile_0.95","negprobes_quantile_0.99","nCount_negprobes","nFeature_negprobes","Area.um2","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","cell"
344,5901,0.48,139,67,2062,6596,488,1384,1251,3624,526,1728,1931,4076,0,4268,0.52,0.64,0.61,340,17.36,"c_1_344_583",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,583,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,10352.43,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,70,2,84.9744,1313,975,3323,3290,"c_1_344_583"
344,6120,0.65,119,77,1072,1476,457,1280,1278,2880,1201,3736,4194,6240,0,4320,0.69,0.87,0.62,298,20.54,"c_1_344_584",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,584,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,12714.81,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,51.88,2,88.128,3335,980,5345,3285,"c_1_344_584"
344,897,0.64,45,29,1034,1256,467,588,2298,3420,1940,4348,1934,2688,0,0,0,0.93,0.53,110,8.15,"c_1_344_585",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,585,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,15140.82,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,48.9,2,12.9168,3412,958,5422,3307,"c_1_344_585"
344,2473,1,64,64,485,856,240,500,656,2532,643,2592,1079,2584,0,808,0.94,0.84,0.65,192,12.88,"c_1_344_586",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,586,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,6640.83,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,56.28,2,35.6112,2653,978,4663,3287,"c_1_344_586"
344,2764,0.94,63,67,961,1648,427,764,1856,4060,1935,6756,4166,6692,0,2308,0.9,0.88,0.57,199,13.89,"c_1_344_587",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,587,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,17645.3,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,48.77,2,39.8016,2971,981,4981,3284,"c_1_344_587"
344,8591,0.86,135,116,756,1336,407,2144,2139,12556,1511,4828,1834,4828,0,3956,0.67,0.71,0.78,391,21.97,"c_1_344_588",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,588,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,16164.04,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,44.42,2,123.7104,2727,1008,4737,3257,"c_1_344_588"
344,4449,0.93,79,85,1039,1320,442,764,1647,4756,1441,3656,3062,5028,0,2860,0.85,0.82,0.81,261,17.05,"c_1_344_589",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,589,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,13325.04,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,53.25,2,64.0656,3461,986,5471,3279,"c_1_344_589"
344,2892,0.95,73,77,987,1272,421,648,1758,3396,1659,3396,3423,4940,0,2584,0.82,0.6,0.64,246,11.76,"c_1_344_590",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,590,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14569.28,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,60.56,2,41.6448,2942,990,4952,3275,"c_1_344_590"
344,3520,0.75,59,79,953,1180,477,960,1824,3704,1438,3368,2737,4296,0,2480,0.66,0.84,0.67,230,15.3,"c_1_344_591",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,591,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,15525.1,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,43.56,2,50.688,2887,993,4897,3272,"c_1_344_591"
344,3882,0.96,73,70,910,1164,438,1448,2746,6424,2528,7124,4500,6972,0.75,3100,0.92,0.9,0.91,233,16.66,"c_1_344_592",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,592,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,23444.04,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,36.65,2,55.9008,4218,989,6228,3276,"c_1_344_592"
